;NAME;EXECUTION_CPU_1;EXECUTION_DRAM_1;implementation;number;EXECUTION_DURATION
0;stacklesspython2_binarytrees_0;399.0865478515625;45.230308532714844;stacklesspython2;0;3.811958074569702
1;stacklesspython3_binarytrees_0;423.2460021972656;47.44567108154297;stacklesspython3;0;4.138614892959595
2;intelpython2_binarytrees_0;467.0171203613281;50.665283203125;intelpython2;0;4.512405157089233
3;intelpython3_binarytrees_0;457.4894714355469;50.69981384277344;intelpython3;0;4.404045104980469
4;activepython_binarytrees_0;468.71722412109375;51.820335388183594;activepython;0;4.476341962814331
5;cython2_binarytrees_0;401.2534484863281;44.62073516845703;cython2;0;3.8786559104919434
6;cython_binarytrees_0;419.5034484863281;46.69950866699219;cython;0;3.9316561222076416
7;graalpython_binarytrees_0;35.76861572265625;4.50970458984375;graalpython;0;0.4440000057220459
8;ipy_binarytrees_0;10.917724609375;1.1506729125976562;ipy;0;0.21690011024475098
9;jython_binarytrees_0;12.493743896484375;1.40313720703125;jython;0;0.2329998016357422
10;micropython_binarytrees_0;31.462677001953125;3.4575347900390625;micropython;0;0.3944990634918213
11;nuitka_binarytrees_0;454.5523681640625;49.71208190917969;nuitka;0;4.377778053283691
12;numba2_binarytrees_0;723.631591796875;77.63152313232422;numba2;0;6.537584066390991
13;numba3_binarytrees_0;542.541259765625;58.683509826660156;numba3;0;4.986933946609497
14;pypy2_binarytrees_0;455.56884765625;55.71955108642578;pypy2;0;4.9918599128723145
15;pypy3_binarytrees_0;427.00201416015625;48.33909606933594;pypy3;0;3.957991123199463
16;cpython2_binarytrees_0;473.6336669921875;51.5855712890625;cpython2;0;4.6336140632629395
17;cpython3_binarytrees_0;488.6934814453125;54.34468078613281;cpython3;0;4.575816869735718
18;stacklesspython2_binarytrees_1;391.5234069824219;43.267921447753906;stacklesspython2;1;3.6800169944763184
19;stacklesspython3_binarytrees_1;526.0548400878906;58.50978088378906;stacklesspython3;1;5.073247909545898
20;intelpython2_binarytrees_1;386.9558410644531;41.890663146972656;intelpython2;1;3.6039540767669678
21;intelpython3_binarytrees_1;491.5384826660156;53.96649169921875;intelpython3;1;4.611231803894043
22;activepython_binarytrees_1;502.0303955078125;55.29241943359375;activepython;1;4.834741115570068
23;cython2_binarytrees_1;477.21905517578125;52.1693115234375;cython2;1;4.482273817062378
24;cython_binarytrees_1;442.87872314453125;48.93903350830078;cython;1;4.284587144851685
25;graalpython_binarytrees_1;68.52069091796875;8.232406616210938;graalpython;1;0.7049999237060547
26;ipy_binarytrees_1;10.75421142578125;1.1336212158203125;ipy;1;0.2162799835205078
27;jython_binarytrees_1;13.54974365234375;1.6327438354492188;jython;1;0.22699999809265137
28;micropython_binarytrees_1;31.687591552734375;3.46942138671875;micropython;1;0.3943359851837158
29;nuitka_binarytrees_1;468.1429443359375;51.85565185546875;nuitka;1;4.401170015335083
30;numba2_binarytrees_1;725.5151977539062;78.80504608154297;numba2;1;6.635488986968994
31;numba3_binarytrees_1;536.1627197265625;58.619850158691406;numba3;1;4.930229902267456
32;pypy2_binarytrees_1;465.6075744628906;56.43592834472656;pypy2;1;5.133635997772217
33;pypy3_binarytrees_1;426.3603210449219;48.4051513671875;pypy3;1;4.04862904548645
34;cpython2_binarytrees_1;478.61309814453125;52.79389190673828;cpython2;1;4.530158996582031
35;cpython3_binarytrees_1;482.3351745605469;54.20954132080078;cpython3;1;4.488270998001099
36;stacklesspython2_binarytrees_2;435.9835510253906;48.26148986816406;stacklesspython2;2;4.100542068481445
37;stacklesspython3_binarytrees_2;496.52252197265625;55.13200378417969;stacklesspython3;2;4.718906879425049
38;intelpython2_binarytrees_2;404.57781982421875;44.392478942871094;intelpython2;2;3.833393096923828
39;intelpython3_binarytrees_2;515.9429016113281;56.371429443359375;intelpython3;2;4.918843984603882
40;activepython_binarytrees_2;493.9132995605469;54.52281188964844;activepython;2;4.679754972457886
41;cython2_binarytrees_2;387.54827880859375;42.068115234375;cython2;2;3.6908509731292725
42;cython_binarytrees_2;493.1643371582031;55.19849395751953;cython;2;4.754889011383057
43;graalpython_binarytrees_2;80.50448608398438;9.899070739746094;graalpython;2;0.7760000228881836
44;ipy_binarytrees_2;10.970062255859375;1.1614151000976562;ipy;2;0.2211301326751709
45;jython_binarytrees_2;26.957855224609375;3.113128662109375;jython;2;0.2239999771118164
46;micropython_binarytrees_2;31.782379150390625;3.4733428955078125;micropython;2;0.39635705947875977
47;nuitka_binarytrees_2;528.5821533203125;58.56871795654297;nuitka;2;5.0067009925842285
48;numba2_binarytrees_2;820.3677368164062;87.60222625732422;numba2;2;7.292431116104126
49;numba3_binarytrees_2;557.9649963378906;60.239532470703125;numba3;2;5.075654029846191
50;pypy2_binarytrees_2;469.1991271972656;56.77528381347656;pypy2;2;5.10086989402771
51;pypy3_binarytrees_2;444.98406982421875;50.22291564941406;pypy3;2;4.209533214569092
52;cpython2_binarytrees_2;449.27593994140625;49.94652557373047;cpython2;2;4.207019805908203
53;cpython3_binarytrees_2;483.7059020996094;53.03184509277344;cpython3;2;4.502081871032715
54;stacklesspython2_binarytrees_3;394.9682922363281;43.35694885253906;stacklesspython2;3;3.720640182495117
55;stacklesspython3_binarytrees_3;527.6187438964844;58.835670471191406;stacklesspython3;3;5.012541055679321
56;intelpython2_binarytrees_3;407.6640625;44.31261444091797;intelpython2;3;3.7973270416259766
57;intelpython3_binarytrees_3;496.132080078125;53.899078369140625;intelpython3;3;4.675566911697388
58;activepython_binarytrees_3;510.6605529785156;56.82209014892578;activepython;3;4.846191883087158
59;cython2_binarytrees_3;442.7178039550781;48.476905822753906;cython2;3;4.045965909957886
60;cython_binarytrees_3;531.3630065917969;58.198265075683594;cython;3;5.0767128467559814
61;graalpython_binarytrees_3;69.42410278320312;8.489471435546875;graalpython;3;0.7300000190734863
62;ipy_binarytrees_3;10.983306884765625;1.165283203125;ipy;3;0.22172999382019043
63;jython_binarytrees_3;12.649261474609375;1.3763275146484375;jython;3;0.2109999656677246
